TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2001-00:00:00,10,01,2001,00,16.175
10.01.2001-03:00:00,10,01,2001,03,16.179
10.01.2001-06:00:00,10,01,2001,06,16.169
10.01.2001-09:00:00,10,01,2001,09,16.088
10.01.2001-12:00:00,10,01,2001,12,16.014
10.01.2001-15:00:00,10,01,2001,15,16
10.01.2001-18:00:00,10,01,2001,18,16.001
10.01.2001-21:00:00,10,01,2001,21,16.003
10.02.2001-00:00:00,10,02,2001,00,16.006
10.02.2001-03:00:00,10,02,2001,03,16.008
10.02.2001-06:00:00,10,02,2001,06,15.994
10.02.2001-09:00:00,10,02,2001,09,15.915
10.02.2001-12:00:00,10,02,2001,12,15.841
10.02.2001-15:00:00,10,02,2001,15,15.825
10.02.2001-18:00:00,10,02,2001,18,15.826
10.02.2001-21:00:00,10,02,2001,21,15.827
10.03.2001-00:00:00,10,03,2001,00,15.828
10.03.2001-03:00:00,10,03,2001,03,15.831
10.03.2001-06:00:00,10,03,2001,06,15.822
10.03.2001-09:00:00,10,03,2001,09,15.745
10.03.2001-12:00:00,10,03,2001,12,15.672
10.03.2001-15:00:00,10,03,2001,15,15.658
10.03.2001-18:00:00,10,03,2001,18,15.657
10.03.2001-21:00:00,10,03,2001,21,15.658
10.04.2001-00:00:00,10,04,2001,00,15.658
10.04.2001-03:00:00,10,04,2001,03,15.659
10.04.2001-06:00:00,10,04,2001,06,15.66
10.04.2001-09:00:00,10,04,2001,09,15.589
10.04.2001-12:00:00,10,04,2001,12,15.52
10.04.2001-15:00:00,10,04,2001,15,15.506
10.04.2001-18:00:00,10,04,2001,18,15.505
10.04.2001-21:00:00,10,04,2001,21,15.505
10.05.2001-00:00:00,10,05,2001,00,15.505
10.05.2001-03:00:00,10,05,2001,03,15.504
10.05.2001-06:00:00,10,05,2001,06,15.503
10.05.2001-09:00:00,10,05,2001,09,15.442
10.05.2001-12:00:00,10,05,2001,12,15.379
10.05.2001-15:00:00,10,05,2001,15,15.368
10.05.2001-18:00:00,10,05,2001,18,15.365
10.05.2001-21:00:00,10,05,2001,21,15.364
10.06.2001-00:00:00,10,06,2001,00,15.362
10.06.2001-03:00:00,10,06,2001,03,15.36
10.06.2001-06:00:00,10,06,2001,06,15.358
10.06.2001-09:00:00,10,06,2001,09,15.303
10.06.2001-12:00:00,10,06,2001,12,15.246
10.06.2001-15:00:00,10,06,2001,15,15.233
10.06.2001-18:00:00,10,06,2001,18,15.229
10.06.2001-21:00:00,10,06,2001,21,15.226
10.07.2001-00:00:00,10,07,2001,00,15.223
10.07.2001-03:00:00,10,07,2001,03,15.219
10.07.2001-06:00:00,10,07,2001,06,15.215
10.07.2001-09:00:00,10,07,2001,09,15.175
10.07.2001-12:00:00,10,07,2001,12,15.132
10.07.2001-15:00:00,10,07,2001,15,15.119
10.07.2001-18:00:00,10,07,2001,18,15.114
10.07.2001-21:00:00,10,07,2001,21,15.109
10.08.2001-00:00:00,10,08,2001,00,15.105
10.08.2001-03:00:00,10,08,2001,03,15.1
10.08.2001-06:00:00,10,08,2001,06,15.094
10.08.2001-09:00:00,10,08,2001,09,15.075
10.08.2001-12:00:00,10,08,2001,12,15.033
10.08.2001-15:00:00,10,08,2001,15,15.02
10.08.2001-18:00:00,10,08,2001,18,15.014
10.08.2001-21:00:00,10,08,2001,21,15.007
10.09.2001-00:00:00,10,09,2001,00,15.001
10.09.2001-03:00:00,10,09,2001,03,14.994
10.09.2001-06:00:00,10,09,2001,06,14.983
10.09.2001-09:00:00,10,09,2001,09,14.949
10.09.2001-12:00:00,10,09,2001,12,14.899
10.09.2001-15:00:00,10,09,2001,15,14.88
10.09.2001-18:00:00,10,09,2001,18,14.871
10.09.2001-21:00:00,10,09,2001,21,14.863
10.10.2001-00:00:00,10,10,2001,00,14.855
10.10.2001-03:00:00,10,10,2001,03,14.847
10.10.2001-06:00:00,10,10,2001,06,14.838
10.10.2001-09:00:00,10,10,2001,09,14.891
10.10.2001-12:00:00,10,10,2001,12,14.908
10.10.2001-15:00:00,10,10,2001,15,14.898
10.10.2001-18:00:00,10,10,2001,18,14.888
10.10.2001-21:00:00,10,10,2001,21,14.877
10.11.2001-00:00:00,10,11,2001,00,14.865
10.11.2001-03:00:00,10,11,2001,03,14.854
10.11.2001-06:00:00,10,11,2001,06,14.842
10.11.2001-09:00:00,10,11,2001,09,14.816
10.11.2001-12:00:00,10,11,2001,12,14.845
